Title line:""
1
2
3
4
5
6
7
8
9
POP
           11_1 , 005005 004007 002002 003005 002005 004008 002005 003003 004013 
           12_1 , 005008 007008 001004 005006 005005 009010 003003 003006 007009 
           13_1 , 005006 007007 002003 004005 002002 004010 001005 003006 004009 
           14_1 , 005005 004008 003003 005005 004004 004009 001003 003006 003009 
           15_1 , 004005 004007 002003 005007 004004 009010 003003 006006 003009 
           16_1 , 005005 006007 001001 007007 004006 000000 001005 003005 003006 
           17_1 , 006006 000000 001001 000000 005006 000000 001004 006006 000000 
           18_1 , 000000 006007 005005 000000 004006 000000 001005 003005 003006 
           19_1 , 005006 004007 002003 000000 004004 010010 002005 003006 009009 
          110_1 , 005006 007008 001003 000000 000000 000000 000000 003005 000000 
          111_1 , 005006 008008 000000 000000 002004 000000 001001 003006 000000 
          112_1 , 005007 006007 000000 000000 004004 000000 001005 005006 009011 
          113_1 , 005005 005007 000000 000000 003004 010010 003005 005006 003009 
          114_1 , 000000 006008 002002 000000 005006 008010 003004 003005 009009 
          115_1 , 005005 008008 002003 000000 004006 010010 003004 003006 003009 
          116_1 , 005007 006008 002002 000000 003005 008010 001003 003005 003009 
          117_1 , 005006 004007 001001 000000 003004 008010 001003 003005 003005 
          118_1 , 005005 008008 001001 000000 005005 004010 001004 003006 009009 
          119_1 , 005005 008008 003004 000000 004005 004010 002003 003006 003009 
          120_1 , 005006 004007 001001 000000 004004 010012 001005 005006 003005 
          121_1 , 005006 004007 001003 000000 004006 010012 001001 003006 006009 
          122_1 , 005006 004007 001001 000000 004004 010012 002005 005006 006009 
          123_1 , 005006 004006 001003 000000 004006 008010 001005 003003 003005 
           21_1 , 003005 006008 000000 000000 002003 000000 002003 003006 009009 
           22_1 , 003005 006006 001002 002006 003005 008009 001002 003006 004011 
           23_1 , 005005 004006 002003 006006 005005 004004 003004 001003 014014 
           24_1 , 005005 004007 002002 005008 005007 004004 004004 003006 007009 
           25_1 , 004005 005006 001001 005005 002002 009009 004004 003003 003011 
           26_1 , 002005 007007 001001 001006 003004 004004 001004 001006 007009 
           27_1 , 006006 007007 001001 004007 005006 008009 001003 003006 003007 
           28_1 , 003005 007007 000000 000000 004005 004004 003004 003006 008011 
           29_1 , 005005 007008 000000 004006 002004 004004 004004 003006 003007 
          210_1 , 000000 000000 000000 001007 002004 008008 003004 005006 007016 
          211_1 , 003006 007007 001001 004004 002005 004012 003003 005006 009011 
          212_1 , 005006 007007 000000 001004 002002 008008 000000 005006 007016 
          213_1 , 005006 006007 001001 000000 003005 004009 004004 006006 004014 
          214_1 , 005005 004008 000000 001007 003003 008009 001004 006006 009014 
          215_1 , 005005 006007 000000 003004 003003 004004 000000 005006 005005 
          216_1 , 005005 006009 000000 000000 002004 010010 003005 005007 009011 
          217_1 , 005005 005007 000000 004007 005005 004009 000000 006007 006007 
          218_1 , 005007 007007 000000 006007 002003 004011 003004 003005 011014 
          219_1 , 005005 007008 000000 005005 003004 008010 003004 005007 009009 
          220_1 , 003003 004006 000000 005006 000000 004010 000000 006006 000000 
          221_1 , 005005 006007 000000 000000 000000 000000 000000 003004 000000 
          222_1 , 000000 003006 000000 004006 005005 000000 002004 003006 009014 
          223_1 , 000000 001006 000000 004008 003005 004008 003004 004006 003009 
          224_1 , 005006 006007 000000 005007 003003 009009 000000 003003 011014 
          225_1 , 005005 004006 000000 005005 003004 008009 000000 003006 003011 
          226_1 , 003005 004008 000000 005008 005005 001006 000000 000000 011011 
          227_1 , 003003 004006 001003 000000 000000 004010 004004 006006 014014 
          228_1 , 005006 005007 000000 001004 002002 004004 000000 006006 007009 
          229_1 , 005006 004005 000000 004008 002004 004012 000000 006007 007011 
          230_1 , 005005 005007 000000 001005 002002 004012 000000 005006 005009 
          231_1 , 005006 004004 000000 001007 002004 004012 000000 003007 007007 
          232_1 , 002005 006007 000000 005007 004005 004008 000000 006006 007009 
          233_1 , 002005 007007 000000 004006 003004 008009 000000 003005 004009 
          234_1 , 005006 007007 000000 006007 003005 004008 000000 003005 011014 
          235_1 , 005006 007007 000000 001004 005005 004004 000000 006006 008009 
          236_1 , 005005 006006 000000 004006 003004 004012 000000 003006 004014 
          237_1 , 005006 008008 000000 004004 003005 011012 000000 006006 003009 
          238_1 , 005005 003007 000000 006007 003004 009010 000000 006006 007009 
          239_1 , 006007 004007 000000 001004 002004 004008 000000 006007 005009 
          240_1 , 005006 004008 000000 004004 003004 004004 000000 003005 009011 
          241_1 , 005005 003007 000000 006007 003004 009010 000000 005006 009009 
          242_1 , 005005 004008 000000 004004 003004 004008 000000 003006 005009 
          243_1 , 000000 004006 000000 000000 005005 008008 001003 001003 003003 
          244_1 , 005007 000000 000000 004005 002005 007007 000000 003004 003011 
          245_1 , 005005 004004 000000 005006 003005 004008 000000 003003 003011 
           31_1 , 005005 006008 002002 004004 002002 001006 003004 003006 011011 
           32_1 , 005005 003007 000000 004007 002004 004008 000000 003004 007009 
           33_1 , 005006 006007 002002 004007 003007 004004 004004 003005 003007 
           34_1 , 005006 004007 000000 001005 002004 004012 000000 003003 004009 
           35_1 , 005005 006007 000000 005007 002007 004009 000000 003003 007009 
           36_1 , 006007 007007 000000 005008 003004 002012 004004 003006 003005 
           37_1 , 006008 006008 002003 005009 003005 008008 003004 001004 003018 
           38_1 , 005006 007008 002002 003003 003005 004009 003003 003004 003007 
           39_1 , 005006 006006 001001 007007 002003 004008 001003 003003 007011 
          310_1 , 006007 008008 002002 007007 002007 001004 001003 003003 007011 
          311_1 , 005005 006007 002002 000000 002004 000000 003004 004006 007009 
          312_1 , 004005 006006 001001 005006 003003 001008 001003 003006 007009 
          313_1 , 005007 006007 002002 000000 002006 000000 002003 003004 009011 
          314_1 , 005005 004008 001002 000000 002005 000000 001003 003006 009015 
          315_1 , 005006 006006 002004 000000 002004 000000 001003 001006 009011 
          316_1 , 005005 006007 003003 000000 002002 004008 003003 006006 011014 
          317_1 , 005005 007008 002003 000000 002003 000000 003003 003004 007011 
          318_1 , 004005 008008 002003 000000 002007 004010 003004 003003 009011 
          319_1 , 005005 006009 001001 000000 004007 003004 000000 003006 000000 
          320_1 , 005006 006008 001002 005006 002003 001004 004004 003006 007014 
          321_1 , 000000 000000 002003 003005 002004 000000 000000 003006 000000 
          322_1 , 005006 006007 000000 004006 002003 008012 000000 003004 007011 
          323_1 , 006006 006008 002003 004004 000000 000000 000000 003006 000000 
          324_1 , 004006 007007 001002 005006 002004 003009 001003 003006 004011 
          325_1 , 005007 002003 002002 000000 002003 000000 003003 003005 006009 
          326_1 , 002005 003006 002002 004006 002003 006008 004004 003006 006007 
          327_1 , 005005 002006 002002 004007 005006 004004 003004 003004 009011 
          328_1 , 002007 006008 003003 005007 003004 009012 003004 005006 003007 
          329_1 , 006006 006007 001003 004004 002003 004006 001003 004005 003011 
          330_1 , 004005 005006 001002 005009 002002 009009 001004 003003 007011 
           41_1 , 005006 004007 001003 006008 002005 008008 003003 003003 003007 
           42_1 , 005006 007007 002002 005006 003006 008011 003003 003006 003012 
           43_1 , 005006 004007 001001 004008 003003 004011 004004 003003 003005 
           44_1 , 005005 003003 001003 005006 003006 008011 001003 003003 007009 
           45_1 , 005005 004006 002003 004007 003005 008011 004004 003006 003005 
           46_1 , 005005 006007 002002 005008 003004 004009 001003 003003 003009 
           47_1 , 005006 004004 001003 004005 003003 008009 001004 003005 005011 
           48_1 , 005005 006007 001002 008009 002003 004008 003004 003005 003003 
           49_1 , 005007 004006 002003 000000 002002 010011 001004 003003 003011 
          410_1 , 005006 006007 001003 000000 006006 008008 004004 003005 003015 
          411_1 , 005007 006007 002003 004004 002002 001010 004005 003003 005007 
          412_1 , 005007 004004 002003 004006 002002 010010 001004 001001 003007 
          413_1 , 005005 006008 001001 004007 002002 000000 003003 003006 003007 
          414_1 , 005006 002007 001002 004005 002002 010010 004004 003004 009015 
          415_1 , 005005 006007 002003 005005 001002 008009 003003 001003 011015 
          416_1 , 005005 004006 002002 000000 004004 008011 003003 000000 005010 
          417_1 , 006007 006008 002002 005005 002002 004008 003004 003003 007009 
          418_1 , 006007 006007 003003 004006 002002 000000 001003 005006 007009 
          419_1 , 005007 006007 001003 000000 002006 008008 001003 003006 005015 
          420_1 , 005005 004004 003003 000000 002003 000000 003004 003005 000000 
          421_1 , 005006 003004 001003 000000 003003 000000 000000 003006 000000 
          422_1 , 005005 004006 002002 000000 002003 000000 004004 003003 000000 
          423_1 , 005007 004005 000000 000000 003003 000000 000000 003003 000000 
          424_1 , 005007 004007 002002 000000 002004 000000 000000 003003 000000 
          425_1 , 005006 004006 001003 000000 002003 000000 000000 003006 000000 
          426_1 , 005005 002006 001001 000000 003006 000000 004004 003003 000000 
          427_1 , 005005 006006 000000 000000 002005 000000 004004 002003 005005 
           51_1 , 000000 006006 001002 003005 005005 008009 002004 003006 007009 
           52_1 , 000000 006006 001002 003005 003005 004009 003004 003004 007011 
           53_1 , 005005 006006 002002 006007 003003 009009 004004 003003 007009 
           54_1 , 006007 006007 002002 003004 003003 007009 003004 003008 009011 
           55_1 , 005005 006006 002003 005006 003005 005009 003004 001006 007008 
           56_1 , 005007 006007 000000 004007 003003 009009 003003 003008 007008 
           57_1 , 005007 005005 001002 003004 002003 009009 003004 005006 007011 
           58_1 , 005007 004006 002002 003008 003003 004009 003004 005006 003004 
           64_1 , 004006 006007 001002 005007 002003 010010 001003 003006 007017 
           65_1 , 004005 006006 002002 004007 002002 011013 004004 004006 007007 
           67_1 , 006006 006006 002002 004007 002002 004007 003003 006006 008017 
           68_1 , 006006 006006 001004 003006 002003 004011 003004 004006 017017 
           69_1 , 005006 005006 002002 004007 002002 004004 001003 003004 007017 
          610_1 , 005005 006007 002002 006007 003003 004009 003004 003005 003008 
          611_1 , 005005 006006 003003 006009 002002 004004 003005 001004 003007 
          612_1 , 005006 005008 001002 004004 003006 004004 005005 003006 009017 
          613_1 , 005006 006006 002002 007007 002002 007013 001003 003006 001009 
          614_1 , 005006 005006 001002 005007 002002 004009 001004 006006 007007 
          615_1 , 005006 005007 002002 007007 003003 004007 001003 004004 017017 
          616_1 , 003005 007007 001002 005007 002002 010010 003005 006006 009017 
